Training-set,CASF-2016,PDBbind2017-2020,CSAR
3v7c,,6b0y,
3v7d,,5nxo,
3v7s,,3p5o,
3v8s,,6exs,
3v8t,,6n9l,
3v8w,,6ewk,
3v9b,,5g3m,
3va4,,6qho,
3vap,,5mgj,
3vb4,,2wn9,
3vb5,,5kr0,
3vb6,,5anv,
3vb7,,6mzw,
3vbg,,5ku9,
3vbq,,5vc3,
3vbt,,5iz6,
3vbv,,6haj,
3vbw,,5ntq,
3vbx,,5jap,
3vby,,5nat,
3vc4,,5cst,
3vd7,,5vzu,
3vdc,,4ui3,
3veu,,5lsg,
3vf3,,5l44,
3vf8,,6gjm,
4w4v,,6o4x,
4w4w,,5j18,
4w4x,,6evo,
4w4y,,6rjp,
4w4z,,5i4o,
4w50,,6kdi,
4w53,,6bkx,
4w54,,5fck,
4w55,,6c99,
4w57,,5ezh,
4w5a,,4gqq,
4w5j,,5ih6,
4w7p,,5vfn,
4w7t,,6k04,
4w9e,,5l2i,
4w9g,,5jq9,
4w9n,,6epa,
4w9q,,6nji,
4w9s,,5e3g,
4waf,,5fpk,
4wag,,5lt6,
4wbg,,5g5z,
1hrn,,6hy7,
1hs6,,5ew9,
1hsg,,5o55,
1hte,,5yic,
1htf,,6iht,
1htg,,6afg,
1hti,,3d6q,
1hty,,5wxp,
1hv5,,5cpr,
1hvy,,4ztq,
1hww,,5ekj,
1hxk,,5l4j,
1hy7,,6f09,
1hyv,,6q8b,
1hyz,,5tdb,
1i32,,5dh5,
1i33,,5nzn,
1i3z,,6b7e,
1i41,,5ggo,
1i43,,6npt,
1i48,,5v13,
1i5d,,5nhp,
1i5h,,6mi6,
1i6v,,5nk8,
1i72,,6dsp,
1i7c,,5ema,
1i7g,,6qts,
1i7i,,5sz5,
1i7m,,5ktw,
1i8h,,6udx,
1bwn,,5vgi,
1bxl,,5jnc,
1bzf,,5u5t,
1bzh,,5zkb,
1bzs,,5ove,
1c12,,6iji,
1c29,,6m95,
1c2t,,6i8y,
1c3b,,5uw5,
1c3i,,5wf5,
1c3r,,6gfm,
1c4v,,6g1w,
1c4y,,6nm4,
1c50,,5n8v,
1c5f,,5llc,
1c6y,,5o22,
1c7e,,6fnf,
1c7f,,5jas,
1c85,,6jaq,
1c8k,,5h6v,
1c8l,,5u1q,
1c8v,,6fyv,
1c9d,,5op6,
1ca8,,3uev,
1caq,,5iee,
1cbr,,5vee,
1ce5,,4xoe,
1cea,,5nk2,
1ci7,,6qme,
1cil,,5h8x,
1cim,,6e3n,
1cin,,5kad,
4g68,,5fb1,
4g69,,1pxn,
4g8l,,5lsy,
4g8o,,6hrq,
4g8r,,5ivj,
4g93,,6nco,
4g9c,,3u9q,
4ga3,,6g0q,
4gao,,5zop,
4gb9,,6as6,
4gby,,2cbj,
4gbz,,5a69,
4gcj,,6d1l,
4gd6,,6dxx,
4gdy,,6st3,
4ge2,,6enm,
4ge4,,5iu2,
4ge5,,5f3c,
4ge6,,5wou,
4ge7,,6c4g,
4ge9,,5ow8,
4gee,,6gon,
4gfd,,5nq5,
4gfn,,6c0r,
4gg5,,5syn,
4ggl,,6hke,
4gh6,,5mny,
3kxz,,5kup,
3l8s,,6rot,
3lj7,,6hvi,
3lpr,,5b0x,
3m2u,,5khk,
3mct,,4ybk,
3mpt,,5huw,
3mxf,,5tw5,
3ndm,,5tzz,
3ns7,,2xdl,
3o1e,,5f0h,
3-Oct,,5q0s,
3oka,,6gy0,
3orn,,4lwh,
3oz1,,5jog,
3pa3,,5wei,
3pma,,6ffn,
3pvu,,6gbx,
3q3k,,6om2,
3qcq,,5o87,
3qnj,,5db0,
3qxm,,6jt3,
3r9n,,6eyt,
3ro0,,6gwr,
3rwf,,5kau,
3s1h,,5mgg,
3sfc,,6evm,
3sna,,2r23,
3szm,,5up0,
3t6r,,5jid,
3tgs,,5mty,
3tl0,,6hp0,
3twd,,5opr,
3u9c,,6qas,
3uib,,1loq,
3uqp,,5j8z,
3v31,,6a8n,
3vf9,,6ajv,
4j04,,5w99,
4j06,,5if6,
4j08,,6jib,
4j09,,5he4,
4j0a,,5w10,
4j0p,,5izc,
4j0r,,5qat,
4j0s,,6fgy,
4j0t,,6r18,
4j0v,,5o1s,
4j0y,,5lvq,
4j0z,,6h1i,
4j17,,5fsl,
4j1c,,6mo8,
4j1e,,6esj,
4j1f,,5eng,
4j1h,,5tuy,
4j1i,,5mim,
4j1k,,5yhl,
4j1p,,6ic6,
4j24,,5xpo,
4j26,,5eh0,
4j2c,,5k1f,
4j2t,,6dq6,
4j3d,,3up2,
4j3e,,5f29,
4j3i,,6f28,
4j3j,,4zsg,
4j3m,,6gy5,
4j3u,,4zsj,
4j4n,,5aqg,
3qo2,,1ps3,
3qo3,,5vqe,
3qo9,,6r8r,
3qpn,,6oxz,
3qpo,,4z5w,
3qpp,,3oe4,
3qqk,,5uox,
3qqu,,5qtu,
3qri,,4yxi,
3qrj,,3su5,
3qrk,,6jb0,
3qs1,,5zym,
3qs4,,5y93,
3qs5,,6fii,
3qs6,,6dzq,
3qs8,,5zyh,
3qsb,,4oi6,
3qsd,,5k9w,
3qt7,,6jbe,
3qtf,,6q9t,
3qti,,4cra,
3qtq,,6hoy,
3qtr,,4xg4,
3qts,,5yjm,
3qtu,,5tca,
3qtw,,5jat,
3qtx,,4zij,
3qtz,,5lz9,
3qu0,,4xo8,
3que,,6ccl,
3qup,,5ijp,
3qvu,,5m28,
3qvv,,3bkk,
3qw6,,5t2y,
3qw7,,6bq0,
3qw8,,2x97,
3qxc,,5htc,
3qxd,,5ntp,
3qxh,,6cho,
4afh,,6fkz,
4afj,,6css,
4aft,,6mr5,
4agd,,5zun,
4ah9,,5hor,
4ahv,,6ety,
4ai8,,5ive,
4aif,,6mjq,
4aig,,6f08,
4aj1,,6ccy,
4aj2,,6ftp,
4ajk,,5h09,
4ajn,,5j7s,
4ajo,,6ew3,
4ajw,,5kxc,
4akn,,6hmb,
4al4,,5k4l,
4alg,,5khj,
4alu,,5y97,
4alv,,6fgl,
4alw,,5a6h,
4nb6,,6gjr,
4ncg,,6ft4,
4ncm,,4mul,
4nct,,6r9u,
4ng9,,6g7f,
4nga,,5n2z,
4ngh,,6edr,
4ngq,,6d1i,
4ngr,,6hm7,
4ngs,,6i8b,
4ngt,,5jzy,
4nh9,,3bfu,
4nhc,,6u5m,
4nhx,,6n19,
4nhy,,5vyy,
4nie,,6bod,
4nj3,,6i12,
4njd,,6mq3,
4nk3,,6ql2,
4nk9,,5juz,
4nka,,4yqm,
4nks,,5o9r,
4nld,,5gtr,
4nmo,,5f6u,
4nmp,,5hna,
4nmq,,6b1e,
4nmr,,6aaq,
2b8l,,5y24,
2b8v,,5wbo,
2ban,,5h0h,
2bb7,,5n3y,
2bba,,5qam,
2bbb,,5ne1,
2bcd,,3ejr,
2bdf,,5n21,
2bdj,,6as8,
2bdl,,6fag,
2bdy,,5cy9,
2be2,,4py2,
2bed,,4xoc,
2bgd,,5ihh,
2bge,,5lpd,
2bgn,,2pog,
2bgr,,5ehv,
2bj4,,5dp8,
2bjm,,5lxc,
2bks,,5uir,
2bkt,,4mq6,
2bkz,,5ufo,
2bmc,,6k4r,
2bmg,,5i56,
2bmv,,3kr8,
2bmz,,6hkn,
2boi,,6ffe,
5awj,,5n0f,
5axp,,6ma2,
5axq,,6q6f,
5azg,,6ssy,
5bml,,5enb,
5bms,,6d1m,
5bnj,,5jq7,
5bot,,5ufc,
5boy,,6ior,
5bpa,,3aru,
5bpe,,5qaq,
5bq0,,6m89,
5brn,,6d4u,
5bsk,,6evn,
5btr,,5hda,
5bue,,3ozt,
5bui,,5jf2,
5buj,,5os2,
5bvd,,5y8w,
5bve,,5o4s,
5bvf,,5oq4,
5bvk,,6qha,
3t03,,4mgd,
3t07,,6bee,
3t0l,,6mku,
3t0m,,5jbi,
3t0t,,5ehn,
3t0w,,5o11,
3t19,,5gmh,
3t1n,,5a9u,
3t2c,,5lwn,
3t2p,,5eqe,
3t2t,,5ndf,
3t2v,,5fxr,
3t3d,,5uwm,
3t3e,,5ygi,
3t3g,,6gga,
3t3h,,5el9,
3t3i,,5iu4,
3t3v,,5u7d,
3t3y,,5zk7,
3t4h,,6hhh,
3t4n,,5ttf,
3t4p,,5i25,
3t4v,,6czi,
3t5i,,6d78,
3t6j,,5bmm,
2oht,,6h77,
2ohu,,6fuj,
2ohv,,5kos,
2oi3,,5t92,
2oi9,,5w14,
2oic,,5xpn,
2oj9,,5f9b,
2ojf,,6exj,
2oji,,5g4o,
2ok1,,5vfm,
2on3,,6nd3,
2onb,,5m2v,
2onc,,5v5y,
2ony,,6fod,
2onz,,6hwz,
2oo8,,6mg5,
2ooh,,6hks,
2ooz,,6mo4,
2op3,,4d7b,
2op9,,1lor,
2opb,,5ax3,
2oph,,5opc,
2opy,,5hu0,
2oq6,,6e8m,
2oqi,,5t8p,
2oqs,,5th2,
2oqv,,5zg1,
2or4,,5t9u,
2or9,,6slg,
2ork,,5u94,
2os9,,6nwk,
3g9l,,4j3l,
3g9n,,5jf3,
3gb2,,5mwo,
3gbq,,3mss,
3gc7,,6itj,
3gcq,,5m6u,
3gcv,,6faf,
3gds,,6j1l,
3gen,,6bef,
3gep,,5zdd,
3gf2,,5teh,
3gfe,,6dgq,
3gfw,,5csd,
3ggc,,6h9v,
3ggj,,5myg,
3ggv,,5vh0,
3ggw,,5tkk,
3ghe,,6bw3,
3gjd,,6q8p,
3gjq,,5tw2,
3gjs,,6gqm,
3gjt,,5nlk,
3gk2,,5fh7,
3gk4,,6gfz,
3gl6,,5lrj,
3gn7,,5ele,
3gnv,,6h1d,
3gol,,5umx,
1nl6,,4yjl,
1nlj,,5tkj,
1nlo,,6mt6,
1nlp,,5fns,
1nlt,,6cyd,
1nmk,,6nu5,
1nms,,6e9w,
1nnb,,5j71,
1nnk,,6ela,
1nnu,,5l4h,
1no9,,6otg,
1noi,,5l01,
1noj,,5k4i,
1nok,,6p85,
1nox,,6cfd,
1npa,,6aff,
1npv,,5y5t,
1npw,,5enh,
1npz,,5a7c,
1nq0,,5q17,
1nqc,,5kbi,
1ntk,,5lh4,
1ntv,,5lzg,
1nu1,,6njz,
1nu8,,6iyv,
1nxy,,5jer,
1ny0,,5j4v,
1ny2,,5l6j,
1nym,,2al5,
1nyx,,6j63,
1nyy,,5meh,
1wxz,,5e7n,
1wzy,,2jdy,
1x07,,2n9e,
1x0n,,2zwz,
1x11,,5n9n,
1x6u,,5eyd,
1x70,,5vad,
1x76,,2n0u,
1x78,,6e5s,
1x7a,,6sbt,
1x7b,,6i62,
1x7e,,6c5f,
1x7q,,4qmy,
1x7r,,5ny3,
1x81,,6d3x,
1x8b,,6dq4,
1x8s,,5qc4,
1x9d,,5zxk,
1xa5,,6cck,
1xb7,,6c7b,
1xbb,,1bzc,
1xbc,,5g46,
1xdd,,5nxi,
1xdg,,4lwi,
1xfv,,5zma,
1xgj,,5lm6,
1xh3,,6fv4,
1xh6,,6gu4,
1xh7,,1a30,
1xh8,,5eje,
1xhm,,5zr3,
1xlx,,5wzv,
2rk7,,5i38,
2rkn,,5iq6,
2rku,,5wbf,
2rl5,,6m8c,
2rly,,6ijh,
2rm0,,5zlf,
2rnw,,5n84,
2rnx,,5x02,
2rny,,5k13,
2rok,,4tvj,
2rol,,5fls,
2rox,,5nk7,
2rqu,,5umw,
2rr4,,5ku6,
2rt5,,5om7,
2sfp,,6p5v,
2srt,,5fwj,
2toh,,5naw,
2tsr,,5hgq,
2upj,,5hki,
2uue,,5l9o,
2uuo,,5lud,
2uup,,5f37,
2uvm,,5qa9,
2uw0,,5o1i,
2uw3,,5hcv,
2uw4,,6t1j,
2uw5,,6drg,
2uw6,,5igq,
2x6j,,5jf1,
2x6k,,6njh,
2x6w,,6cjs,
2x6y,,5lhi,
2x7c,,6b31,
2x7d,,6mx3,
2x7o,,4r5w,
2x7s,,5n9k,
2x7x,,6s4u,
2x81,,5hlb,
2x85,,6mil,
2x8d,,5xw6,
2x8e,,5wyq,
2x8i,,5uoy,
2x9e,,3zsx,
2x9f,,6nzq,
2xa4,,5aa9,
2xae,,6pno,
2xaf,,5tpb,
2xag,,5trk,
2xah,,6pz4,
2xaj,,5mxr,
3c6u,,5e0j,
3c6w,,5nqr,
3c72,,1qkt,
3c7n,,5o8t,
3c7p,,5qar,
3c7q,,5tx3,
3c94,,5zzw,
3c9e,,6hld,
3caj,,6ap8,
3cbp,,1bcu,
3cbs,,4qmx,
3ccb,,5v8o,
3ccc,,6fh7,
3ccn,,5wfz,
3cd8,,5tcc,
3cde,,5uga,
3ce0,,5lrk,
3ce3,,5j1r,
3cen,,2hb1,
3cf1,,6det,
3cf9,,6un3,
3cfs,,5iwg,
3cfv,,6pl1,
3cgf,,5dy5,
3cgo,,6hzd,
3cgy,,6atv,
3ch9,,5ucj,
3chc,,4wi1,
3chd,,5eef,
3che,,5l13,
3chf,,5htl,
3chg,,5ivf,
3cho,,5nkg,
3chp,,4kzu,
4pgc,,4und,
4pgd,,6hky,
4pgh,,5hu1,
4ph4,,5du6,
4phv,,6h4a,
4phw,,6fyl,
4pid,,6dgx,
4pio,,6fi4,
4piq,,6o5u,
4pis,,5khi,
4pji,,5lmk,
4pjt,,5xup,
4pkb,,6ful,
4pkr,,5n31,
4pks,,6oxq,
4pkt,,5fbo,
4pku,,5k6s,
4pkv,,6ew6,
4pkw,,6fav,
4pl0,,6cdj,
4pl3,,6eed,
4pl4,,5epk,
4pl5,,6md7,
4pm0,,5v40,
4pml,,5ax9,
4pmp,,5fho,
4pms,,5mon,
4pmt,,6rpg,
1g50,,5j79,
1g5f,,6n0j,
1g5s,,6cwf,
1g6g,,6keb,
1g6r,,6exm,
1g6s,,6g2b,
1g7p,,5ix0,
1g9a,,6dai,
1g9b,,6j10,
1g9c,,5tg7,
1g9d,,5wgp,
1g9s,,5u2j,
1g9t,,4qmp,
1ga8,,5lyr,
1ga9,,6gmx,
1gag,,6i13,
1gah,,6b1f,
1gbq,,6fdu,
1gbt,,5t2m,
1gca,,4q15,
1gfw,,6d16,
1gfz,,6ibz,
1ggd,,6hza,
1ggn,,5uiu,
1gi6,,5h17,
1gi8,,5gjf,
1gi9,,6mdq,
1gj4,,6bu0,
1gj5,,5uwf,
1gjb,,6dge,
3lpt,,6dh0,
3lpu,,6awp,
3lq4,,3arv,
3lq5,,3cj4,
3lq8,,6i11,
3lqi,,5wa8,
3lqj,,5mka,
3lrh,,5mkr,
3ls4,,5lp1,
3luo,,5fdz,
3lvp,,6hys,
3lw0,,6g2f,
3lxg,,5dpa,
3lxl,,4wci,
3lxo,,6cki,
3lxs,,6a6k,
3ly2,,5vsd,
3lzb,,5lws,
3lzv,,5ndb,
3m11,,6gzh,
3m17,,6ooy,
3m1j,,5dyo,
3m1s,,6e4v,
1tc1,,6goo,
1tet,,6m87,
1tfq,,5uiq,
1tft,,1syi,
1tfz,,5div,
1tg5,,5h9s,
1thl,,6oxr,
1thr,,5c85,
1ths,,5uov,
1tka,,4uuh,
1tkc,,5uwl,
1tkt,,5xof,
1tkx,,6f8g,
1tkz,,5yr5,
1tl1,,5ncy,
1tl3,,5lch,
1tl7,,5jy3,
1tl9,,5mrh,
1tlo,,5enc,
1tmb,,3b1m,
1tmm,,6es0,
1tnj,,6gfx,
1tnk,,4z07,
1tnl,,6h96,
1tou,,6o6f,
1tow,,6gjj,
1tps,,3gcs,
1tpz,,5mft,
1tqf,,6q74,
1tr7,,5wio,
1tsi,,6n9h,
1tsl,,5v41,
1tsm,,6kzc,
1tsv,,5en3,
1tt1,,6guf,
1ttv,,5nn5,
1tu6,,5vsc,
1tv6,,5a7y,
2clx,,6i66,
2cm7,,6n8x,
2cm8,,6gg8,
2cma,,5znl,
2cmb,,3pe2,
2cmc,,6ex0,
2cmf,,5elv,
2cmo,,6nao,
2cn8,,5qag,
2cne,,5myn,
2cnf,,4ih7,
2cng,,6eog,
2cnh,,5ewz,
2cni,,6gmq,
2co0,,6n5x,
2csm,,5orx,
2cv3,,5nzq,
2cvd,,5wzw,
2d06,,5gmn,
2d1x,,6itp,
2d2v,,5z9e,
2d41,,5etx,
2dbl,,5u0f,
2ddf,,5drq,
4mk8,,6d5w,
4mk9,,6cd5,
4mka,,5ene,
4mlt,,5heb,
4mlx,,5l7e,
4mm4,,5oq8,
4mm5,,2qbr,
4mm6,,5ni7,
4mm7,,6agp,
4mm8,,6hdo,
4mm9,,5i9y,
4mma,,6sy7,
4mmf,,5ih5,
4mnq,,5f01,
4mnv,,2xys,
4mnw,,5vdv,
4mnx,,5a6k,
4mny,,5or9,
4mot,,6mqm,
4mp2,,6r13,
4mp7,,6frj,
4mpc,,5a2s,
4mpe,,5kcx,
4mq1,,5gmv,
4mq2,,5o1d,
4mqp,,5t7s,
4mqu,,5e2s,
4mr4,,5diu,
4mr5,,5mrb,
3vtd,,6aao,
3vuc,,6d3z,
3vv6,,5q1f,
3vv7,,5l4i,
3vv8,,5b5f,
3vva,,5gty,
3vvz,,5uez,
3vw0,,6rna,
3vw6,,6asu,
3vw7,,5lzj,
3vw9,,5nka,
3vws,,5n9t,
3vyd,,6chn,
3vye,,6ocu,
3vyf,,6hzv,
3vzd,,6ugn,
3vzg,,6csp,
3vzv,,5lla,
3w0l,,5tg2,
3w1f,,6coj,
3w2o,,4yhz,
3w2p,,5l7k,
3w2q,,6rn6,
3w2r,,6gh9,
3w2s,,5ngt,
3w2t,,5tyo,
3w32,,2nd0,
4c35,,5tyj,
4c36,,6pnm,
4c37,,5i24,
4c38,,5nt4,
4c3k,,6gue,
4c4e,,5ehq,
4c4f,,5a3s,
4c4g,,4zv1,
4c4h,,5uc4,
4c4i,,5hdu,
4c4j,,6jio,
4c4n,,5jjr,
4c5w,,4xuh,
4c61,,6qxd,
4c66,,6skc,
4c68,,6fuh,
4c6v,,6b22,
4c6x,,5mob,
4c6z,,5inh,
4c70,,6md6,
4c71,,5sz2,
4c72,,5we9,
4c73,,6ggn,
4c7t,,6f3g,
4c8r,,5t8e,
3od0,,5l99,
3odi,,6hgg,
3odk,,6a5e,
3odl,,6g86,
3oe0,,5ylj,
3oe6,,5jop,
3oe8,,4lwe,
3oe9,,5l7h,
3oeu,,5jal,
3oev,,6jpj,
3of8,,5qa8,
3og7,,5ogb,
3ogm,,5hoa,
3ogp,,5w86,
3ogq,,5yy9,
3ogx,,6qge,
3ohf,,6i5g,
3ohh,,5t4b,
3oik,,5osd,
3oj8,,5gs4,
3ivv,,6f5w,
3iw4,,5g61,
3iw7,,6qgj,
3iw8,,6uii,
3iwy,,2wer,
3ixg,,3b27,
3ixj,,4ui4,
3ixk,,5u49,
3jpv,,6bhd,
3jpx,,6jno,
3jq7,,6s9b,
3jq8,,6q3q,
3jq9,,3muz,
3jqa,,6s9x,
3jqb,,6jij,
3jqf,,6buu,
3jqg,,5hjq,
3jsi,,6hk7,
3jsw,,5a4e,
3jvk,,6pi1,
3jwq,,6mo1,
3jwr,,5nkd,
3jxw,,6hzb,
3jy9,,5x4n,
3jyj,,6hu3,
3jzb,,6h4x,
3jzc,,5owh,
3jzf,,5cyv,
3jzi,,2ole,
3jzk,,2xb8,
3jzo,,6fo7,
3jzp,,2w4x,
3jzq,,6bfp,
3jzr,,4jia,
3jzs,,6oe0,
3k05,,5gwa,
3k0h,,5x72,
3k0k,,5aqf,
4u45,,1nvq,
4u58,,5ifu,
4u5j,,6npe,
4u5l,,6ary,
4u5t,,5ggk,
4u5u,,5w0q,
4u5v,,5vjp,
4u6e,,5vi6,
4u6r,,4yec,
4u6x,,3f3c,
4u6y,,6gji,
4u79,,6jbb,
4u7q,,5mes,
4u7t,,6ea1,
4u7v,,5f3t,
4u82,,5m23,
4u90,,6nvl,
4u91,,6gi6,
4u93,,6h4w,
4uat,,5a4l,
4uau,,6ocw,
4ucd,,5n2d,
4uce,,5gso,
4qz6,,5lcj,
4qz7,,6qdx,
4qzs,,5m6f,
4qzw,,5uor,
4qzx,,5k51,
4r02,,6a73,
4r07,,5jyo,
4r0i,,5j2x,
4r17,,5ti5,
4r18,,6f26,
4r1e,,5ism,
4r1v,,6kla,
4r1y,,6cjw,
4r3b,,6f3b,
4r3c,,6cqz,
4r3s,,6oou,
4r4q,,5e2k,
4r5g,,5tdr,
4r5n,,6r9s,
4r5v,,5di1,
4r5x,,5n9r,
4r6t,,5hfj,
4r6v,,6axp,
4r6w,,5yov,
4r6x,,5w5v,
4r7m,,4j5d,
4r8y,,6f8j,
4r91,,6rr0,
4r92,,5d6j,
4r93,,5t5g,
4r95,,5jsg,
4ra5,,6mqe,
4rab,,6b5i,
4rac,,6ms1,
4rad,,5m9w,
4ran,,4yho,
3zvw,,5jnn,
3zvy,,2jdm,
3zw3,,5t4h,
3zxe,,6hd4,
3zxh,,5un1,
3zxr,,5l72,
3zxv,,5l6i,
3zy2,,4qmq,
3zy5,,5qay,
3zya,,5js3,
3zyb,,6phz,
3zyh,,5ut4,
3zyr,,5wfw,
3zzf,,5dgj,
3zzh,,5eqp,
4a0j,,5ehi,
4a16,,5nze,
4a1w,,6sze,
4a22,,5iua,
4a23,,6ax1,
4a2a,,6jag,
4a4c,,6i18,
4a4e,,5evz,
4a4f,,6oie,
4a4g,,4j21,
4a4h,,6oxp,
4a4l,,6ahi,
4a4o,,5mks,
4a4x,,5t6g,
2gph,,5fnf,
2gpp,,5dry,
2gqn,,6im4,
2gtk,,5j0d,
2gtv,,1gpn,
2gu8,,6eee,
2gv2,,5dh4,
2gvd,,6ma3,
2gvf,,6co4,
2gvz,,3zso,
2gz7,,6ugp,
2gz8,,6a8g,
2h02,,5a5v,
2h03,,5lgp,
2h13,,5f32,
2h1h,,5v83,
2h23,,5w38,
2h2d,,5dtk,
2h2e,,6eiq,
2h2g,,6jsz,
2h2h,,5h9q,
2h2j,,6hzc,
2h42,,6omu,
2h44,,5pzm,
2h5d,,5uah,
2h5e,,5td7,
2h5i,,5v86,
2h5j,,5ypw,
2h65,,6mj7,
3ekq,,5e2v,
3eks,,6ckl,
3eky,,6q7h,
3el0,,5f3e,
3el7,,5i9x,
3el8,,6pid,
3elj,,5nvf,
3elm,,5f1x,
3emg,,5lma,
3emh,,6h0b,
3eml,,6rml,
3ens,,5fh8,
3eoc,,5ldo,
3eor,,5yof,
3eos,,5eom,
3eou,,6t1l,
3eov,,6fmi,
3eq7,,5ntw,
3eq8,,5kj0,
3eq9,,6nzv,
3eqb,,5twl,
4i0r,,5hz6,
4i0s,,5thi,
4i0t,,6ay5,
4i0z,,6huv,
4i10,,5efh,
4i11,,5nwe,
4i12,,6mbo,
4i1c,,5i8g,
4i1r,,5wkf,
4i2w,,5qal,
4i2z,,6hu2,
4i31,,5na0,
4i32,,5ha9,
4i33,,5oa2,
4i47,,6bke,
4i4e,,4w9h,
4i4f,,5d45,
4i5h,,5q19,
4i5m,,6orr,
4i5p,,4uj9,
4i60,,5fb7,
4i67,,6dm8,
4i6b,,5etu,
4i6f,,5gsa,
4i6h,,5arf,
4i6q,,5d47,
4i73,,6fr2,
4i7b,,6fac,
4i7c,,5kbh,
4i7d,,5yve,
4i7f,,5wlv,
4i80,,6n3o,
4i9c,,5aqq,
4i9i,,5nee,
4i9o,,6f5h,
4i9r,,5loh,
4i9s,,5le1,
4i9z,,5k8s,
4l7h,,6fzj,
4l7j,,5mo0,
4l7l,,6cnk,
4l7n,,6bfx,
4l7o,,6htd,
4l7r,,5i8p,
4l7u,,6bt0,
4l8m,,6eox,
4la7,,5zhn,
4lbl,,6ic2,
4lbo,,5j1w,
4lbp,,5wqa,
4lc7,,6g3v,
4led,,6p84,
4leg,,4xg8,
4len,,6h4u,
4lg6,,5n3w,
4lge,,5q1c,
4lgg,,5lgu,
4lgh,,5ans,
4lgu,,5twg,
4lh2,,6oz6,
4lh3,,5q11,
4lh5,,5ioy,
4lh6,,5jiq,
4lh7,,6en6,
4li0,,6d4v,
4li5,,5l2s,
4li6,,6d1b,
4li7,,6dl9,
4li8,,4yh4,
4lil,,5uq9,
4lj3,,5vgo,
4lk6,,5jv1,
4lkd,,5g6u,
4lke,,6g01,
4lkf,,5u7j,
4yuz,,6ql1,
4yv0,,6erv,
4yv1,,5bqg,
4yv2,,6en5,
4yv5,,5u6d,
4yv9,,4qna,
4yvc,,5ll4,
4yve,,5arg,
4yvz,,5v2l,
4yw2,,5a7i,
4yw6,,5cj6,
4yw7,,5uv5,
4ywa,,5ka9,
4yx9,,6ibx,
4yy6,,6htn,
4yyi,,5ia2,
4yyl,,5h1u,
4yym,,5vsf,
4yyn,,5u4e,
4yz5,,5xvf,
4yz9,,5zjy,
4yzc,,6htr,
4yzm,,5hka,
4yzn,,5u6k,
4z1n,,6qwa,
4z1q,,6d17,
5d7c,,5i3y,
5d7e,,6m9f,
5d7r,,6f9v,
5d9k,,6u7o,
5d9l,,5ezz,
5d9p,,5hbs,
5dah,,5n9l,
5dd9,,5lif,
5dda,,5t8q,
5ddb,,6rj6,
5ddd,,5fqr,
5dde,,5hvy,
5ddf,,5o0s,
5dgz,,6ap6,
5dhg,,5m77,
5dhh,,5ldp,
5dhj,,6h4t,
5dia,,5y80,
5diq,,6ud2,
5dj5,,5ivv,
5djp,,6hop,
5djr,,6b1h,
5djv,,6qe0,
5dk4,,6c5h,
4fcr,,5dlv,
4fe6,,5mli,
4fe9,,5fi7,
4fea,,6ak4,
4fem,,5aaa,
4feq,,6ajy,
4ff8,,5o4t,
4fgt,,5im3,
4fgx,,6c9v,
4fgy,,5f00,
4fgz,,6i8l,
4fhh,,5wh5,
4fhi,,5ito,
4fi9,,5t6f,
4fic,,5msb,
4fil,,5vqi,
4fiv,,5usy,
4fjz,,5tt3,
4fk7,,5ff6,
4fkk,,6h2z,
4fl3,,3cft,
4flh,,6dlj,
4fli,,6bo6,
4flj,,6poh,
4flk,,5hdv,
4fll,,5jaz,
4fmn,,6pek,
4fmo,,4ycn,
4fmq,,5u3b,
4fmu,,6hq4,
4fn5,,6bg3,
4fns,,5ezg,
4ia0,,5w0e,
4inh,,5x9p,
4j03,,5fqs,
4j4o,,5kat,
4j9a,,5m7t,
4jg7,,6cen,
4jnj,,5x74,
4jvq,,6hti,
4k4e,,6p7q,
4kbk,,6c5q,
4kon,,6ey7,
4kz0,,5ekh,
4l7g,,5j19,
4lkg,,5ieo,
4lv4,,6fbv,
4m5g,,5khd,
4mbf,,6pgx,
4mg5,,2c3i,
4mk7,,5ug9,
4mra,,5v7w,
4mw7,,6fnx,
4n1z,,6g9x,
4nb3,,5w85,
4nms,,6pvy,
4ntj,,2zcr,
4o1l,,5mro,
4o76,,6msn,
4ock,,6p11,
4ogi,,6cvy,
4op2,,5y5u,
4owo,,5vqr,
4p1u,,6jn6,
4pgb,,6nxz,
4pn1,,5jiy,
4prh,,6gzm,
4pxf,,5bns,
4qbm,,6u8l,
4qlu,,4uja,
4e1e,,6f1n,
4e1m,,5i22,
4e1n,,6fh6,
4e1z,,5jeo,
4e3b,,5myd,
4e3d,,5kls,
4e3f,,6fx1,
4e3h,,5v42,
4e3i,,5nne,
4e3j,,6pl2,
4e3k,,6iiw,
4e3l,,6d8v,
4e3m,,6i0z,
4e3n,,6bl1,
4e3o,,5m0m,
4e4a,,6hgj,
4e4x,,6a03,
4e5d,,5y0x,
4e5f,,6q6o,
4e5g,,3g31,
4e5h,,5nsp,
4e5i,,5wyx,
4e5j,,6i17,
4e6c,,6bhh,
4e8w,,5fwr,
4e8y,,6ic7,
4e8z,,5ylu,
4e9c,,5qab,
4e9d,,5b6c,
4jg8,,6eqa,
4jgv,,5y7h,
4jhq,,5mnc,
4jht,,6n5g,
4jhz,,4rfr,
4jib,,3uex,
4jik,,6at0,
4jin,,6o48,
4jit,,2qnq,
4jiz,,6g36,
4jj7,,5v7t,
